tenure,salary,raise_pct,performance,overtime_hours,months_since_promotion,department,age,attendance_anomalies,attrition
22.7,15403.0,7.2,4,61.2,112.0,人事部,43.0,2,1
22.6,16843.0,7.1,4,1.9,120.0,人事部,51.0,2,0
23.1,17698.0,4.6,3,23.1,120.0,运营部,55.0,3,0
19.1,11657.0,5.1,4,3.6,60.0,人事部,42.0,2,1
27.7,14579.0,7.3,4,15.4,120.0,市场部,51.0,4,0
22.2,14265.0,0.7,3,30.3,120.0,运营部,52.0,3,0
26.1,15079.0,11.5,4,19.4,120.0,市场部,48.0,0,1
9.1,14427.0,2.5,3,52.9,79.0,销售部,37.0,1,0
0.0,5682.0,2.9,3,34.5,0.0,运营部,25.0,2,0
2.6,8397.0,0.4,4,20.7,13.0,市场部,23.0,3,0
11.4,18104.0,0.5,3,27.3,80.0,技术部,38.0,4,0
11.1,14193.0,6.9,5,54.4,67.0,市场部,38.0,1,0
11.4,11000.0,10.8,4,48.2,105.0,人事部,35.0,2,0
10.5,15900.0,2.3,4,7.2,42.0,销售部,41.0,2,1
18.0,11292.0,5.0,3,16.4,120.0,市场部,40.0,4,1
25.6,20390.0,4.7,3,39.5,120.0,技术部,50.0,3,0
0.0,5713.0,7.0,4,37.1,0.0,人事部,26.0,1,0
6.7,11555.0,10.7,4,9.0,31.0,市场部,29.0,5,1
18.1,18928.0,8.6,4,45.0,120.0,销售部,48.0,3,1
29.1,15455.0,3.3,3,12.2,120.0,销售部,50.0,2,0
29.1,14587.0,5.6,3,56.1,120.0,财务部,55.0,3,0
30.1,15057.0,5.9,2,40.6,104.0,人事部,51.0,0,0
22.9,13196.0,3.9,4,7.4,120.0,运营部,51.0,1,1
2.5,10591.0,0.7,3,19.4,10.0,市场部,32.0,5,0
4.8,11470.0,1.6,4,19.1,30.0,技术部,35.0,0,0
0.0,8690.0,7.4,3,33.2,0.0,人事部,31.0,2,0
13.9,13365.0,7.8,3,25.9,111.0,财务部,42.0,1,0
23.8,14301.0,3.4,4,7.1,117.0,人事部,53.0,3,1
6.9,11526.0,4.8,4,2.1,17.0,技术部,33.0,0,0
9.0,15564.0,7.6,5,41.0,22.0,销售部,40.0,1,0
4.3,9104.0,0.0,2,35.7,120.0,人事部,32.0,0,0
0.0,7201.0,2.7,4,32.1,0.0,人事部,28.0,1,0
5.2,8764.0,10.1,2,35.4,37.0,市场部,28.0,0,0
0.0,7950.0,4.9,4,17.6,120.0,人事部,24.0,3,1
24.2,17052.0,0.6,4,33.7,120.0,运营部,53.0,3,1
12.6,13235.0,4.4,3,80.8,120.0,市场部,35.0,2,1
27.5,16011.0,7.1,4,53.5,120.0,运营部,50.0,0,1
12.3,16595.0,0.0,3,24.2,82.0,销售部,44.0,2,0
2.8,8862.0,4.5,3,19.5,22.0,销售部,28.0,1,0
5.8,9110.0,2.9,3,0.0,120.0,人事部,28.0,1,1
25.0,15725.0,0.0,2,51.4,111.0,财务部,49.0,3,0
6.2,13371.0,4.2,5,45.7,120.0,技术部,31.0,3,1
24.5,18025.0,3.6,4,19.1,120.0,人事部,52.0,0,0
0.0,10571.0,3.9,4,1.4,120.0,销售部,27.0,3,0
12.2,11795.0,3.0,5,6.9,82.0,人事部,44.0,4,1
21.2,20866.0,0.9,4,38.9,97.0,技术部,49.0,2,0
1.6,9200.0,0.0,3,28.2,12.0,人事部,30.0,1,0
7.1,10824.0,1.9,2,43.8,120.0,人事部,31.0,0,0
23.7,16845.0,6.6,3,31.7,120.0,人事部,54.0,6,0
8.4,8533.0,4.7,5,49.3,63.0,财务部,31.0,2,0
14.7,11465.0,3.8,5,37.4,93.0,市场部,36.0,4,1
4.3,10699.0,0.9,4,46.6,41.0,人事部,36.0,4,1
0.0,10354.0,2.9,3,0.0,0.0,销售部,30.0,0,0
24.4,15874.0,6.2,3,5.3,120.0,人事部,48.0,1,0
18.9,15826.0,5.5,5,22.7,120.0,财务部,47.0,1,1
8.4,10415.0,2.6,2,51.6,49.0,市场部,34.0,2,0
26.1,16073.0,0.0,4,67.6,120.0,财务部,50.0,2,0
5.6,10640.0,2.0,3,26.7,57.0,财务部,29.0,2,0
0.4,8803.0,2.6,3,17.8,5.0,技术部,22.0,5,0
14.4,18191.0,1.3,4,0.0,98.0,技术部,41.0,2,1
29.6,21795.0,2.8,5,47.3,120.0,销售部,55.0,1,1
0.0,11020.0,6.4,4,19.0,120.0,技术部,23.0,1,1
6.4,8936.0,3.9,3,89.2,120.0,市场部,29.0,0,0
7.7,11243.0,7.0,3,15.2,37.0,人事部,39.0,1,0
21.3,13153.0,0.0,5,72.1,54.0,财务部,49.0,2,1
0.0,6628.0,3.1,4,45.0,120.0,市场部,25.0,1,0
13.7,10434.0,0.0,3,9.4,120.0,运营部,35.0,2,0
19.5,12290.0,2.7,4,34.6,120.0,财务部,47.0,2,0
3.8,15113.0,0.9,3,45.4,120.0,技术部,34.0,1,0
4.0,9402.0,7.8,2,25.5,120.0,人事部,28.0,2,1
5.7,7655.0,5.2,5,46.8,120.0,财务部,28.0,3,1
12.8,13578.0,7.0,4,46.3,54.0,财务部,36.0,1,0
14.7,12685.0,2.7,3,41.9,36.0,财务部,38.0,3,0
24.6,17746.0,0.9,3,29.7,120.0,财务部,50.0,2,0
19.1,21422.0,0.8,5,6.5,120.0,技术部,43.0,1,1
21.7,15555.0,4.8,4,28.5,120.0,财务部,45.0,3,1
26.2,13211.0,9.4,4,33.5,120.0,人事部,54.0,2,0
15.4,10997.0,5.2,2,0.0,92.0,销售部,36.0,1,0
10.9,11416.0,2.9,5,33.4,66.0,财务部,35.0,1,0
23.7,25366.0,3.4,5,28.1,120.0,技术部,52.0,4,0
7.9,10373.0,3.9,4,4.1,65.0,市场部,30.0,0,0
23.3,14769.0,10.1,3,23.3,120.0,市场部,46.0,3,0
24.6,11676.0,7.7,4,23.8,120.0,运营部,47.0,2,0
5.0,11223.0,4.8,4,68.6,17.0,销售部,25.0,2,0
11.3,12093.0,4.3,4,34.4,120.0,销售部,37.0,2,0
8.5,10873.0,4.9,5,50.7,40.0,市场部,29.0,0,1
4.7,8865.0,5.5,4,27.6,120.0,运营部,28.0,1,1
5.1,8576.0,2.8,3,0.0,60.0,运营部,37.0,1,0
1.0,9658.0,1.5,3,43.4,120.0,技术部,32.0,4,0
25.4,17084.0,7.1,4,16.8,114.0,销售部,48.0,3,1
28.3,14565.0,4.1,3,23.3,120.0,人事部,52.0,0,0
22.4,22017.0,6.8,3,8.9,102.0,技术部,48.0,2,0
0.9,8964.0,8.9,4,31.5,8.0,运营部,31.0,2,1
1.4,8732.0,5.6,3,51.3,8.0,销售部,31.0,1,0
8.5,9284.0,5.1,4,48.7,95.0,运营部,30.0,1,1
4.5,7901.0,13.6,2,61.7,120.0,销售部,26.0,3,1
28.0,15544.0,4.6,3,64.6,120.0,市场部,53.0,2,1
4.6,11235.0,0.7,3,0.0,120.0,财务部,35.0,3,0
0.0,12129.0,3.2,4,6.1,0.0,技术部,29.0,3,0
28.7,19146.0,8.7,4,0.0,120.0,财务部,50.0,2,0
8.1,9315.0,0.1,3,42.6,57.0,财务部,35.0,1,0
1.1,7044.0,1.7,3,16.1,12.0,人事部,23.0,4,0
0.0,7021.0,7.3,2,20.2,0.0,运营部,27.0,1,0
12.0,15376.0,3.2,4,25.7,102.0,财务部,43.0,2,0
22.5,16668.0,3.7,5,37.7,120.0,市场部,48.0,0,0
8.0,11682.0,7.2,4,0.3,90.0,市场部,29.0,0,0
25.0,14417.0,1.8,3,4.8,120.0,市场部,52.0,1,0
25.1,14576.0,0.0,4,30.0,120.0,人事部,50.0,1,1
20.3,18976.0,0.0,3,54.0,120.0,销售部,50.0,0,0
5.9,10085.0,5.7,2,29.5,55.0,销售部,30.0,3,0
0.0,8003.0,4.8,3,14.2,0.0,市场部,24.0,2,0
27.7,22452.0,1.9,2,0.0,120.0,技术部,51.0,3,0
10.1,16834.0,0.5,3,49.1,120.0,技术部,32.0,1,0
18.3,15781.0,3.2,4,15.3,120.0,技术部,42.0,1,0
26.6,17299.0,7.3,3,7.1,120.0,人事部,47.0,7,0
2.6,7280.0,1.5,4,0.0,120.0,人事部,26.0,4,0
20.1,13523.0,2.0,5,1.2,120.0,人事部,48.0,4,0
31.3,18418.0,0.4,4,10.8,120.0,市场部,53.0,1,0
24.7,12918.0,2.9,3,25.2,120.0,人事部,46.0,1,0
15.4,19464.0,5.0,4,5.8,106.0,技术部,37.0,0,0
30.1,18521.0,10.3,2,33.7,81.0,运营部,51.0,1,0
8.5,13735.0,4.7,3,25.1,85.0,财务部,39.0,3,0
15.7,15309.0,3.8,3,74.4,120.0,运营部,47.0,1,0
28.4,23643.0,6.6,4,0.0,82.0,技术部,49.0,3,1
17.9,14347.0,6.1,4,33.2,120.0,市场部,47.0,3,0
2.2,9329.0,2.3,4,33.5,26.0,人事部,31.0,1,0
0.0,6395.0,10.9,4,9.4,0.0,市场部,26.0,2,0
5.8,10952.0,3.9,4,31.9,64.0,市场部,30.0,4,0
15.6,16843.0,4.7,4,45.4,60.0,技术部,39.0,3,0
13.6,13441.0,5.7,5,31.9,34.0,市场部,39.0,5,1
10.7,12838.0,5.0,3,57.7,80.0,销售部,41.0,1,0
6.3,10953.0,8.6,5,0.0,120.0,销售部,35.0,1,0
22.3,11454.0,2.2,5,13.2,120.0,人事部,48.0,2,0
29.1,17083.0,6.4,4,59.5,120.0,财务部,52.0,2,0
1.3,8439.0,4.5,2,48.2,12.0,财务部,30.0,3,0
15.7,12494.0,6.9,3,40.8,120.0,市场部,46.0,1,1
19.2,11682.0,3.4,4,54.7,120.0,运营部,44.0,2,0
11.0,16192.0,2.9,2,0.0,105.0,技术部,39.0,4,0
3.2,8196.0,6.2,3,45.9,28.0,市场部,28.0,2,0
22.3,23047.0,5.1,4,51.3,120.0,技术部,48.0,0,0
27.7,14898.0,1.5,5,16.8,120.0,市场部,54.0,1,1
16.7,13214.0,8.0,4,82.6,96.0,运营部,46.0,1,0
20.3,13703.0,6.2,4,33.9,120.0,市场部,52.0,3,0
28.7,16237.0,3.8,3,0.0,120.0,运营部,54.0,4,0
9.9,11313.0,2.6,2,37.6,55.0,市场部,34.0,3,0
18.5,13460.0,5.1,4,15.6,120.0,人事部,43.0,2,0
16.4,12603.0,6.0,3,53.3,120.0,市场部,38.0,2,0
31.4,20460.0,0.0,4,41.0,109.0,销售部,55.0,5,1
4.0,6713.0,5.1,5,18.0,41.0,人事部,25.0,0,1
10.9,10268.0,6.0,4,60.0,105.0,运营部,36.0,1,0
29.0,18220.0,0.0,4,48.8,120.0,销售部,51.0,2,1
6.8,9608.0,4.6,4,13.4,120.0,人事部,31.0,1,0
18.5,15963.0,6.1,4,27.0,120.0,销售部,48.0,2,1
12.0,11657.0,5.7,3,40.3,120.0,人事部,35.0,1,0
26.7,15231.0,6.4,3,22.7,72.0,人事部,54.0,0,0
20.2,14032.0,3.0,3,23.3,120.0,市场部,51.0,4,0
5.2,8054.0,0.9,4,30.7,35.0,人事部,32.0,1,0
24.7,14390.0,0.0,3,8.7,120.0,销售部,47.0,1,0
8.9,14172.0,7.3,4,0.0,120.0,技术部,33.0,0,0
14.9,19549.0,6.1,4,34.8,120.0,技术部,42.0,1,0
17.9,15706.0,7.5,1,0.0,120.0,市场部,44.0,3,0
27.2,14735.0,1.8,4,10.1,120.0,运营部,49.0,2,0
0.0,8508.0,6.4,3,0.0,0.0,技术部,23.0,1,0
2.5,10137.0,0.0,3,0.0,28.0,市场部,29.0,3,0
21.8,11188.0,1.4,2,38.5,120.0,人事部,45.0,0,0
13.7,13607.0,4.4,3,25.6,120.0,销售部,41.0,2,0
17.2,13513.0,6.0,5,24.8,120.0,人事部,38.0,1,0
0.0,8003.0,9.0,5,3.7,0.0,销售部,24.0,2,0
3.3,7327.0,3.3,4,16.9,13.0,人事部,33.0,4,1
27.9,15617.0,1.4,4,37.5,120.0,财务部,51.0,4,1
0.0,7748.0,1.2,4,29.0,0.0,财务部,23.0,3,0
10.1,10672.0,1.9,5,46.5,120.0,销售部,35.0,3,1
29.2,18893.0,10.7,4,49.3,120.0,市场部,53.0,2,0
0.0,6671.0,6.3,2,25.0,120.0,运营部,24.0,1,0
22.9,18973.0,7.3,4,0.0,107.0,技术部,47.0,0,0
8.2,8301.0,3.3,5,14.9,26.0,人事部,31.0,1,0
20.1,17697.0,4.0,3,28.0,120.0,市场部,51.0,2,0
18.0,12640.0,6.1,3,14.5,78.0,人事部,47.0,3,0
22.8,17756.0,2.5,3,8.9,69.0,财务部,51.0,2,0
8.4,9791.0,3.1,3,31.4,120.0,市场部,29.0,2,0
18.4,12591.0,2.0,4,78.6,120.0,销售部,40.0,2,0
20.3,14897.0,2.7,3,20.2,120.0,财务部,48.0,1,0
7.5,13040.0,4.1,5,29.9,26.0,技术部,30.0,0,0
7.3,9792.0,1.5,4,3.8,53.0,财务部,30.0,4,1
0.0,10910.0,4.9,1,54.9,0.0,技术部,23.0,4,1
30.6,21214.0,4.9,4,47.5,120.0,财务部,54.0,4,0
24.1,17356.0,3.5,4,46.1,120.0,财务部,45.0,7,1
22.6,20105.0,1.5,4,57.2,120.0,技术部,43.0,4,0
21.7,14081.0,4.3,3,21.5,75.0,人事部,47.0,5,0
12.6,13244.0,2.5,4,24.0,120.0,市场部,40.0,3,1
7.6,9241.0,4.1,3,64.2,120.0,人事部,38.0,1,0
15.7,18555.0,7.3,3,42.7,59.0,技术部,37.0,5,0
20.6,18315.0,0.2,3,0.0,94.0,销售部,43.0,1,0
2.6,8044.0,10.5,3,39.1,10.0,市场部,29.0,0,0
26.6,21675.0,3.8,4,18.4,120.0,销售部,51.0,2,0
23.2,20043.0,5.2,3,48.0,120.0,销售部,49.0,3,0
2.9,9388.0,1.7,4,38.2,22.0,财务部,34.0,2,0
14.5,19740.0,7.4,3,0.0,116.0,技术部,41.0,4,0
2.0,6450.0,3.6,4,35.4,120.0,人事部,27.0,0,0
22.1,17421.0,2.8,3,34.2,116.0,技术部,54.0,2,0
31.2,18636.0,2.3,5,37.3,120.0,销售部,52.0,1,0
20.8,16378.0,3.2,5,41.5,120.0,财务部,52.0,1,0
7.0,8761.0,5.3,3,59.9,41.0,人事部,33.0,1,0
2.0,11133.0,4.5,4,38.3,120.0,销售部,28.0,5,1
0.0,8284.0,3.9,3,30.5,0.0,销售部,29.0,1,0
0.0,6365.0,1.9,4,53.0,120.0,运营部,25.0,1,1
0.7,7626.0,1.7,4,74.9,2.0,运营部,26.0,2,0
0.7,6204.0,2.6,3,48.3,120.0,财务部,24.0,3,0
27.1,19278.0,5.4,3,34.1,109.0,市场部,55.0,5,0
0.0,7228.0,6.0,3,38.7,120.0,市场部,24.0,1,0
3.4,10220.0,6.4,4,35.1,14.0,财务部,26.0,2,0
20.5,16633.0,4.0,4,30.4,120.0,财务部,49.0,4,1
13.3,11567.0,5.2,2,73.3,60.0,销售部,41.0,4,0
23.2,17237.0,3.5,3,15.0,120.0,技术部,48.0,1,0
22.9,16320.0,0.0,3,53.1,120.0,技术部,43.0,3,0
25.6,17826.0,3.4,4,27.5,120.0,运营部,51.0,0,0
22.9,16137.0,2.9,2,0.4,120.0,市场部,43.0,1,0
18.1,13080.0,0.9,3,26.2,60.0,市场部,39.0,8,1
20.8,13256.0,2.3,5,19.1,120.0,市场部,46.0,1,0
16.0,13190.0,4.4,3,41.6,99.0,人事部,37.0,4,0
9.7,12467.0,0.6,4,31.8,73.0,技术部,33.0,3,1
9.1,16003.0,1.9,3,9.6,26.0,技术部,37.0,2,0
4.3,11016.0,8.6,3,59.4,42.0,销售部,28.0,3,1
16.0,13217.0,0.0,4,51.8,120.0,市场部,48.0,4,1
0.0,7800.0,3.5,3,61.7,120.0,人事部,31.0,1,0
0.0,7158.0,0.5,3,34.7,0.0,市场部,27.0,3,1
0.0,8088.0,1.7,5,29.3,0.0,市场部,30.0,1,0
19.6,16460.0,3.4,5,44.1,111.0,运营部,50.0,2,0
9.2,15111.0,1.0,4,18.5,120.0,技术部,33.0,3,1
16.0,15884.0,5.7,2,32.6,120.0,财务部,45.0,3,0
28.4,17459.0,8.1,2,26.5,80.0,财务部,50.0,2,0
0.0,6941.0,6.5,3,0.8,0.0,市场部,25.0,3,0
21.1,14913.0,7.1,5,32.5,57.0,人事部,47.0,3,0
11.8,12279.0,0.0,4,21.2,120.0,销售部,32.0,4,1
5.7,7437.0,3.3,4,25.1,45.0,运营部,29.0,2,0
13.5,14277.0,5.4,5,37.3,120.0,销售部,45.0,2,0
28.2,18381.0,6.6,2,55.5,120.0,财务部,52.0,0,0
9.8,11773.0,9.3,4,13.0,62.0,财务部,32.0,2,0
18.7,11217.0,7.2,3,23.3,120.0,运营部,41.0,1,0
6.2,11550.0,6.7,3,14.7,50.0,市场部,32.0,0,0
9.9,12543.0,11.9,5,13.4,104.0,销售部,40.0,1,0
13.9,15625.0,4.3,5,18.1,120.0,技术部,43.0,6,1
16.8,11994.0,3.1,2,26.1,120.0,市场部,42.0,0,1
20.5,14688.0,4.5,3,41.7,120.0,人事部,43.0,0,0
5.4,10993.0,1.3,4,36.4,59.0,技术部,26.0,2,0
19.4,13080.0,4.2,2,8.9,120.0,运营部,45.0,1,0
14.2,11950.0,0.0,4,55.9,115.0,财务部,44.0,2,0
16.2,19541.0,2.4,4,48.9,120.0,技术部,45.0,4,0
0.0,9300.0,3.7,3,12.0,120.0,销售部,24.0,4,0
9.9,10789.0,6.8,3,54.5,120.0,财务部,37.0,1,0
9.8,14526.0,7.3,3,36.5,109.0,销售部,35.0,0,0
0.0,8183.0,1.1,5,26.9,0.0,技术部,25.0,2,1
2.8,7602.0,10.2,3,37.2,120.0,财务部,29.0,2,0
8.8,10541.0,4.4,4,29.5,55.0,人事部,37.0,1,0
20.9,21394.0,4.7,3,40.9,82.0,技术部,47.0,1,0
0.0,8418.0,0.0,4,33.7,120.0,销售部,30.0,0,1
23.9,18127.0,2.1,2,23.3,120.0,销售部,49.0,4,0
19.8,12946.0,7.1,2,0.0,120.0,财务部,40.0,4,0
24.2,14610.0,4.5,4,40.5,120.0,人事部,47.0,1,1
12.0,11584.0,4.3,4,22.5,31.0,人事部,38.0,0,0
11.5,12843.0,4.7,3,45.6,120.0,运营部,38.0,2,0
15.4,11829.0,0.0,3,39.6,41.0,人事部,42.0,3,1
24.4,19611.0,3.7,5,23.0,120.0,销售部,53.0,5,1
14.7,16945.0,8.2,2,50.5,120.0,技术部,38.0,0,0
11.0,11171.0,7.3,3,34.1,40.0,财务部,39.0,3,0
13.6,10561.0,3.6,3,33.3,120.0,运营部,42.0,2,0
21.1,16264.0,8.7,3,27.2,120.0,运营部,46.0,1,0
0.0,7380.0,0.2,4,63.7,0.0,销售部,24.0,3,1
16.9,16243.0,1.1,4,15.7,104.0,销售部,39.0,5,1
13.0,13730.0,9.6,4,23.5,43.0,技术部,38.0,2,1
22.6,23799.0,5.7,4,5.3,59.0,技术部,52.0,1,0
7.1,9722.0,3.1,3,44.5,120.0,财务部,38.0,1,1
9.9,13685.0,3.8,4,18.4,88.0,财务部,37.0,2,0
30.4,19533.0,1.6,2,20.6,120.0,市场部,54.0,4,0
8.8,10401.0,4.8,3,19.7,74.0,销售部,37.0,1,0
0.0,7950.0,4.6,4,31.3,0.0,人事部,28.0,4,0
5.0,9738.0,4.1,3,5.0,55.0,市场部,29.0,1,0
0.0,6522.0,0.5,2,0.0,0.0,人事部,25.0,4,0
1.1,6120.0,4.8,3,39.2,5.0,运营部,22.0,2,0
15.9,15049.0,2.4,4,0.0,99.0,销售部,36.0,2,0
25.5,19480.0,1.0,2,47.1,120.0,销售部,47.0,2,0
24.1,13170.0,7.8,4,61.2,120.0,运营部,46.0,0,0
0.0,8571.0,10.5,4,26.7,120.0,财务部,23.0,2,1
15.9,13307.0,9.8,4,56.0,120.0,销售部,41.0,5,1
3.7,7278.0,6.0,3,29.5,120.0,财务部,27.0,2,0
27.9,18230.0,3.2,4,62.0,120.0,财务部,53.0,2,0
3.3,6721.0,3.8,3,20.9,20.0,运营部,28.0,1,0
19.4,14355.0,5.2,5,0.0,48.0,销售部,43.0,3,0
11.3,10118.0,2.7,4,28.4,119.0,运营部,33.0,1,0
15.1,11087.0,8.0,2,64.2,101.0,运营部,43.0,1,0
14.4,11968.0,0.0,4,40.7,120.0,销售部,36.0,3,1
17.7,20509.0,3.1,4,19.7,120.0,技术部,47.0,2,0
7.6,10208.0,6.4,3,36.6,21.0,财务部,30.0,6,0
23.2,24277.0,1.5,3,49.4,120.0,技术部,52.0,2,0
9.3,13300.0,3.3,4,28.3,120.0,销售部,39.0,2,1
25.5,16043.0,5.8,4,82.5,85.0,市场部,47.0,2,1
29.0,14083.0,8.6,5,19.7,120.0,运营部,50.0,0,1
23.6,17057.0,0.1,3,50.1,120.0,运营部,55.0,4,0
3.4,10316.0,0.0,4,45.2,20.0,技术部,29.0,4,1
3.4,7531.0,1.2,4,16.0,31.0,运营部,31.0,4,0
9.7,15426.0,0.0,4,21.5,120.0,技术部,30.0,3,0
7.7,10056.0,0.0,3,50.4,35.0,人事部,31.0,2,0
14.9,12351.0,1.1,3,32.9,38.0,运营部,41.0,1,0
24.4,12574.0,7.7,4,36.8,120.0,运营部,55.0,1,0
31.7,17400.0,3.1,3,0.0,120.0,销售部,55.0,1,0
9.7,10611.0,4.1,3,43.1,120.0,运营部,39.0,1,0
15.1,19236.0,1.1,4,35.7,120.0,技术部,43.0,2,1
28.6,16973.0,5.9,3,28.7,113.0,财务部,50.0,3,0
29.5,14403.0,9.6,2,37.2,120.0,市场部,53.0,1,0
6.1,9198.0,1.3,2,21.8,53.0,销售部,29.0,3,0
13.7,16948.0,9.2,4,18.2,69.0,技术部,39.0,1,1
21.4,15160.0,5.1,5,25.2,120.0,人事部,49.0,2,1
6.8,8264.0,4.1,3,20.7,47.0,市场部,32.0,0,0
14.1,10110.0,5.2,2,73.6,120.0,财务部,37.0,3,0
26.6,15892.0,5.2,4,48.2,120.0,市场部,55.0,2,1
28.0,14876.0,9.6,3,10.6,120.0,市场部,55.0,2,1
25.8,15520.0,5.6,5,70.7,120.0,运营部,52.0,3,0
21.3,17073.0,5.6,4,21.3,93.0,技术部,48.0,0,1
8.3,9829.0,2.7,3,30.6,120.0,人事部,31.0,2,0
4.8,9908.0,6.5,3,47.9,41.0,人事部,33.0,0,1
15.3,15518.0,1.1,3,0.0,120.0,市场部,40.0,1,0
16.6,17475.0,4.3,4,25.3,120.0,销售部,41.0,2,0
17.2,15711.0,12.6,2,18.5,120.0,技术部,39.0,2,0
15.8,9943.0,0.0,5,34.1,57.0,运营部,43.0,2,1
7.8,9065.0,4.7,4,37.4,120.0,运营部,35.0,3,0
22.9,18627.0,4.8,5,28.5,120.0,销售部,47.0,0,0
2.7,10165.0,3.3,5,27.5,9.0,技术部,33.0,1,0
2.9,11694.0,3.4,3,51.3,34.0,技术部,33.0,2,0
4.7,10564.0,4.3,4,36.0,40.0,技术部,26.0,1,0
0.0,6552.0,3.2,4,30.8,120.0,人事部,28.0,3,1
25.3,16133.0,4.7,3,33.0,120.0,运营部,50.0,1,0
5.0,14588.0,2.5,2,66.7,23.0,技术部,37.0,2,0
7.3,9091.0,10.1,3,33.5,120.0,人事部,30.0,1,0
23.6,20197.0,3.2,3,19.7,113.0,销售部,47.0,2,0
14.7,10886.0,5.7,5,0.0,120.0,市场部,40.0,1,1
0.0,6406.0,2.0,3,1.3,0.0,财务部,23.0,4,0
3.7,8186.0,6.8,4,20.7,41.0,人事部,32.0,3,0
2.2,8261.0,6.2,5,27.8,9.0,运营部,28.0,3,1
21.3,19968.0,5.3,3,18.9,120.0,技术部,44.0,1,0
