tenure,monthly_salary,overtime_hours,performance,promotions,commute_minutes,attrition
13.6,30086,32.4,2.1,1,52.1,1
9.7,12539,32.7,2.8,4,100.3,1
4.8,27627,7.7,2.3,1,116.4,1
13.0,19096,27.2,4.4,5,113.3,0
19.4,11851,23.2,4.9,0,21.9,0
14.7,16278,17.5,4.9,1,52.4,0
5.5,29225,17.4,3.1,8,85.6,0
14.9,12456,14.6,1.3,10,111.3,0
13.4,10083,28.8,2.2,4,83.4,1
14.1,24166,5.1,2.7,6,84.5,0
12.5,15861,16.2,4.3,4,41.6,0
11.8,27453,12.9,2.8,10,33.5,0
18.1,32084,29.4,3.6,4,66.7,0
7.0,32818,38.1,1.9,4,34.7,0
1.0,14023,39.4,3.4,1,60.1,1
11.7,29538,27.9,3.0,3,26.2,0
17.9,34194,30.8,1.4,6,34.1,0
14.1,21222,2.0,2.0,1,60.2,0
13.5,24314,23.8,4.8,7,77.4,0
10.3,33216,36.3,2.8,2,91.8,0
5.6,14101,33.6,2.1,8,63.3,1
9.1,29381,11.4,2.1,5,108.2,0
3.4,18551,27.8,3.8,1,55.6,1
9.6,8040,8.3,2.7,9,114.1,0
17.7,24864,15.2,1.0,5,42.8,0
17.9,33385,16.8,4.0,8,98.0,0
10.0,14943,17.4,1.1,5,83.6,1
14.6,33541,18.7,1.5,9,68.8,0
12.0,27725,1.1,3.6,2,105.4,0
5.6,16726,8.5,2.3,6,40.6,0
8.7,33358,3.3,1.1,8,15.7,0
4.9,8248,31.2,3.6,0,114.5,1
0.9,10993,9.5,2.9,1,72.0,1
14.1,31129,14.8,3.4,1,95.6,0
6.6,24962,1.0,2.2,10,109.9,0
18.9,12498,3.0,3.8,10,36.7,0
6.4,28421,24.0,1.5,9,96.1,0
8.9,18142,2.8,3.6,0,103.5,1
2.6,17868,25.4,4.3,2,57.9,1
19.3,14850,24.6,4.7,7,61.1,0
12.1,16561,34.1,4.3,1,40.7,1
15.1,24672,24.4,2.5,0,64.4,0
10.0,17626,31.9,2.4,9,87.1,0
0.7,12260,3.4,3.9,7,71.1,0
9.8,29325,19.6,4.2,1,42.4,0
5.2,27756,23.3,2.9,8,47.8,0
11.2,17528,28.1,2.1,4,35.4,0
6.7,30342,21.4,4.0,2,31.1,0
5.9,25319,39.1,3.1,4,117.9,1
6.3,17825,7.2,1.1,8,23.9,1
1.6,15572,27.9,1.5,7,21.3,0
6.0,21686,17.6,1.7,0,37.8,1
2.7,8141,16.0,1.3,10,85.5,1
16.3,15956,3.4,2.0,8,94.1,0
15.9,13395,31.0,2.5,7,42.7,0
8.9,24632,24.8,3.4,1,114.2,1
4.6,27640,3.2,2.0,8,18.3,1
9.3,25458,18.8,1.1,4,87.8,0
9.4,28524,9.3,2.1,10,74.9,0
4.4,9760,21.8,3.6,4,100.9,1
3.7,16079,23.8,4.3,4,58.3,1
6.4,19189,37.7,3.0,7,58.2,0
17.8,30069,12.9,2.0,1,35.2,0
17.3,25238,38.0,5.0,10,100.4,0
15.4,11740,18.8,3.6,4,30.0,0
12.9,22112,38.8,2.9,6,46.7,0
17.2,16807,16.5,3.0,10,114.0,0
11.2,20903,3.5,2.0,1,116.7,1
10.5,6037,26.3,3.2,6,16.0,1
12.6,22334,25.0,4.0,3,39.4,0
6.1,34863,27.9,1.5,10,77.0,0
3.6,24049,0.5,2.6,3,119.1,0
9.5,9849,25.9,1.6,4,66.0,1
16.8,21473,9.7,3.2,6,31.0,0
15.1,10473,34.6,2.1,6,47.4,1
5.7,6084,11.3,2.2,9,73.8,1
17.4,20632,21.5,2.4,8,93.9,0
18.7,34495,7.5,3.8,9,52.1,0
8.5,16426,29.8,3.8,6,52.5,0
16.5,10984,19.8,1.1,8,116.2,1
2.5,33690,17.6,3.1,7,11.7,0
17.5,11058,3.0,4.1,4,47.2,0
13.2,33910,13.1,3.7,8,51.8,0
14.5,30884,19.5,3.2,9,17.5,0
18.5,13454,29.9,2.7,1,93.6,1
2.5,11451,27.8,4.6,0,45.7,1
7.5,20112,5.8,3.1,9,85.0,0
3.9,25971,34.8,3.5,3,64.7,1
5.0,26902,10.2,2.0,0,108.9,1
6.1,23910,6.3,2.8,5,118.6,0
19.3,28620,10.0,4.4,3,119.9,0
2.6,18496,22.9,3.3,4,12.4,0
8.2,6265,22.6,3.7,0,110.2,1
16.7,15378,31.0,1.9,5,34.1,0
5.4,30758,28.8,3.6,2,79.1,0
13.1,16123,31.5,1.1,5,90.6,1
6.3,30493,16.6,1.8,8,106.4,0
10.3,14930,33.2,2.0,7,116.4,1
17.5,32353,4.6,4.9,2,93.0,0
13.7,28098,39.2,4.9,8,50.2,0
0.8,23582,4.9,2.5,10,38.8,0
13.0,18172,4.3,1.9,0,78.2,1
6.9,25991,8.9,1.3,7,110.0,0
8.5,10580,1.8,1.1,7,22.8,0
11.0,18735,18.1,3.7,8,56.1,0
3.5,19594,26.2,4.3,9,54.9,0
1.1,18141,8.7,2.8,3,104.1,1
13.9,23841,36.1,3.6,0,53.8,0
2.9,33788,33.0,1.4,3,80.6,1
0.9,31781,13.3,5.0,9,32.6,0
11.3,25214,8.6,4.5,5,95.2,0
12.1,15085,34.3,1.6,2,69.4,1
2.6,34391,1.0,1.1,3,74.8,1
5.7,10153,29.7,3.1,1,62.4,1
10.5,9573,18.1,1.9,9,14.8,0
17.4,23086,12.1,3.6,0,16.7,0
8.3,28482,4.3,3.8,7,18.1,0
12.4,8152,5.0,3.5,9,70.3,0
19.9,23385,11.8,3.0,6,20.9,0
17.1,27329,35.1,3.2,3,57.3,0
8.6,33112,18.1,2.7,1,44.4,0
5.5,11001,27.5,2.9,1,101.5,1
2.4,30208,14.9,1.5,0,74.5,1
6.9,10005,16.4,4.5,6,105.5,1
19.4,25674,12.5,1.4,8,33.4,0
4.9,9546,14.0,3.2,1,93.9,1
16.2,33694,22.4,4.1,9,77.5,0
1.0,27555,33.2,2.1,2,40.1,1
18.5,17502,0.2,4.5,9,82.3,0
14.9,7004,3.7,3.1,6,56.2,0
7.7,29645,13.0,4.8,9,19.3,0
3.6,26245,2.0,1.3,7,82.8,0
9.1,14951,8.6,3.0,5,57.3,0
13.7,21945,21.1,2.2,3,53.5,0
0.6,15876,37.8,4.1,4,41.8,1
10.2,20111,7.0,2.5,3,65.0,0
16.2,8361,15.9,4.0,6,12.1,0
17.3,24866,17.2,2.6,10,55.9,0
0.9,16642,6.9,4.8,7,101.5,0
2.2,33672,4.2,2.7,6,67.6,0
6.6,17125,8.9,4.1,1,66.2,0
10.4,31435,14.0,3.9,10,99.7,0
3.4,12464,6.9,1.6,10,18.3,0
12.7,21202,30.2,4.0,7,84.9,0
13.0,26464,12.9,4.9,5,26.6,0
9.1,15922,31.9,3.4,5,65.8,1
9.3,7864,14.7,2.1,10,105.1,1
12.5,22615,15.4,3.3,0,59.5,0
13.2,16535,24.2,3.0,0,59.6,1
16.8,29406,3.4,3.6,0,37.3,0
9.1,23129,24.4,2.5,4,52.6,0
13.7,7715,31.6,3.6,1,46.3,1
8.0,14257,28.9,3.6,9,106.1,1
11.9,10634,36.7,2.2,10,86.8,1
12.1,8776,12.4,2.5,5,99.5,1
16.7,30208,39.9,4.6,1,81.1,0
7.6,17881,12.4,4.8,5,114.2,0
4.9,10507,6.2,2.2,1,65.8,1
14.9,23253,1.5,2.3,9,24.4,0
3.7,33241,27.7,3.5,2,89.3,1
7.6,29579,9.5,2.8,4,92.8,0
5.1,13837,12.4,4.2,7,109.4,0
13.7,24691,39.4,2.8,4,95.6,1
8.7,11310,32.7,4.2,2,106.0,1
9.9,18163,22.2,1.4,8,103.6,1
15.4,14938,18.0,3.1,6,20.1,0
16.4,34987,14.0,1.1,0,53.6,0
8.0,8674,15.0,1.1,1,102.3,1
15.9,10508,1.5,4.7,7,86.6,0
14.3,20699,24.6,4.6,0,38.2,0
11.2,29830,24.4,2.7,4,36.1,0
5.1,26937,31.8,2.8,1,102.0,1
11.0,26707,20.6,2.0,2,42.0,1
7.4,24699,16.7,3.7,1,67.6,0
19.1,23828,20.3,5.0,8,12.2,0
1.3,18677,39.2,2.0,0,49.3,1
5.2,27531,25.1,4.1,5,24.7,0
7.1,27063,7.0,4.1,7,117.9,0
4.1,10418,2.5,4.1,7,14.1,0
15.9,7373,12.6,2.2,6,118.8,1
5.4,30683,25.9,2.1,0,105.2,1
2.9,18059,17.5,2.6,7,108.4,1
19.5,22259,27.7,2.5,8,39.3,0
8.8,20110,24.1,4.3,8,42.3,0
6.9,15687,12.3,3.4,6,28.3,0
9.2,29816,34.8,2.4,6,40.2,0
19.0,8458,26.8,2.6,8,98.1,1
19.1,10678,33.9,3.7,7,13.8,0
15.7,18003,14.5,4.8,0,76.6,0
19.0,18190,17.8,1.3,2,68.2,0
13.2,14179,38.4,1.1,2,64.9,1
11.5,14577,31.0,3.8,3,119.6,1
18.4,22095,8.0,1.5,1,59.7,0
9.2,8876,32.4,4.9,5,83.5,1
11.2,15514,35.7,4.4,10,29.2,0
4.9,12585,31.7,1.9,7,12.9,1
7.7,32334,39.3,1.5,1,17.2,0
14.5,21684,21.0,4.1,9,18.1,0
13.0,20744,18.6,3.1,2,106.6,1
13.0,11962,30.7,1.5,8,110.2,1
2.9,11014,12.2,1.6,3,48.1,1
18.0,33719,3.2,1.8,8,40.2,0
12.5,9061,20.1,1.7,9,27.0,0
14.6,25829,13.5,4.7,0,100.8,1
1.4,27019,30.8,2.1,3,94.4,1
13.0,22319,35.6,3.2,10,115.2,0
16.2,28445,16.2,2.8,0,27.4,0
9.6,17147,24.3,2.3,5,90.8,1
19.5,10284,30.4,3.1,1,45.1,1
5.7,14123,5.6,1.2,6,105.1,1
19.3,11233,32.5,4.7,5,30.9,0
19.9,21296,20.0,2.2,0,19.9,0
9.4,13888,8.6,2.4,0,40.9,1
16.9,28037,18.8,3.1,1,57.4,0
14.7,31030,16.1,1.2,0,72.7,0
11.3,8409,15.5,2.8,8,40.8,0
13.8,9893,5.1,1.4,5,97.4,1
18.8,30738,5.8,3.4,6,65.0,1
3.2,16913,32.2,3.1,2,76.7,1
6.9,26089,12.7,2.6,9,91.3,0
7.1,33141,20.4,3.0,9,43.0,0
7.7,28079,4.4,2.7,4,97.6,0
13.9,6873,23.9,2.1,10,96.1,1
11.8,29638,2.1,2.9,8,79.2,0
16.9,10842,32.9,2.0,9,114.3,1
0.9,16279,16.8,2.7,3,55.1,1
18.5,34600,33.9,3.9,2,67.1,0
20.0,21675,21.0,2.3,2,60.6,0
11.2,28146,30.9,3.9,10,98.4,0
9.9,14077,11.2,2.2,4,94.8,1
14.0,22023,12.7,2.4,4,41.7,0
11.1,18928,32.7,4.8,2,41.9,0
14.4,17349,37.0,3.6,7,33.5,0
5.8,24416,27.8,1.5,9,91.5,0
1.5,23401,9.0,1.9,1,55.5,1
2.5,31256,5.5,4.9,2,54.8,0
17.6,21645,26.0,4.0,4,45.3,0
18.2,8931,26.1,1.9,0,110.5,1
17.7,11760,37.4,1.1,6,96.7,1
15.1,34583,37.0,4.5,0,42.8,0
18.6,16978,11.4,5.0,8,67.7,0
3.1,22522,18.7,1.8,1,46.4,1
13.1,29547,7.4,3.9,4,72.5,0
3.9,34054,25.5,2.6,6,66.7,0
13.6,12054,39.3,2.9,3,10.8,1
9.2,14748,38.2,2.2,9,11.3,0
14.0,8035,26.7,2.9,2,54.6,1
18.0,29054,30.8,3.8,10,110.8,0
12.5,13180,38.3,2.9,7,92.3,1
8.6,23997,36.5,4.0,10,100.8,0
13.8,25523,34.9,1.3,7,68.1,0
18.4,9676,2.5,3.2,8,32.2,0
3.7,33999,20.8,1.5,3,88.9,0
18.0,20597,32.3,2.8,8,55.7,0
11.4,28045,32.3,3.9,6,38.0,1
4.7,8393,1.8,2.4,1,69.5,1
17.9,21468,1.3,2.6,2,94.2,0
13.1,19774,15.0,4.6,7,105.7,0
7.8,28371,38.6,4.5,2,81.9,0
4.0,23604,15.7,1.5,3,101.8,1
19.6,21171,26.9,3.2,8,51.7,0
9.5,11083,11.0,4.7,1,13.5,0
12.5,34958,35.6,2.0,1,21.1,1
12.2,29045,34.9,2.0,0,54.2,1
4.7,34302,31.0,1.6,4,35.8,0
11.7,24922,23.9,3.7,5,36.1,0
19.7,23080,8.8,2.2,0,71.2,0
14.8,11738,25.0,2.7,7,15.2,0
13.0,18489,31.4,2.3,6,54.9,0
4.1,23626,18.9,4.4,4,104.3,0
9.5,7888,22.5,4.9,8,68.3,0
5.5,16822,25.9,4.7,5,20.2,0
4.2,14796,15.1,3.4,0,106.1,1
15.4,29734,26.9,1.9,3,105.6,0
19.2,6502,8.5,1.8,1,92.2,1
18.3,28794,24.2,1.8,3,70.7,0
7.9,23486,25.9,2.2,5,66.4,0
2.4,29672,18.8,4.4,3,50.8,0
11.5,13250,29.7,1.1,8,112.8,1
8.6,10994,7.8,1.9,9,101.7,0
13.3,28441,13.5,4.1,7,116.3,0
10.1,11512,29.3,2.4,2,89.2,1
18.4,23764,39.6,4.8,8,13.7,0
18.9,27896,1.9,1.0,2,102.7,0
14.3,6299,8.7,2.8,0,78.0,1
12.5,21833,26.4,1.1,8,70.7,1
10.8,15002,21.4,2.1,8,99.4,1
16.2,11874,4.3,1.4,2,36.5,0
5.4,17614,10.7,2.6,5,115.5,1
5.2,28847,9.0,3.7,1,81.9,0
15.3,9063,16.2,2.5,7,16.2,1
3.8,22379,33.8,3.6,5,72.2,1
2.4,23306,36.8,1.9,9,62.3,1
1.9,15187,36.0,3.3,0,29.7,1
0.8,12788,23.5,4.0,6,112.2,1
11.5,24569,33.4,2.6,8,46.5,0
3.2,28587,29.0,3.0,5,15.9,0
16.9,17160,24.2,3.5,9,53.6,0
1.1,14956,31.3,2.8,3,49.1,1
8.9,28272,23.4,2.5,9,42.5,0
1.9,14780,6.2,3.8,10,27.0,0
7.5,8998,0.2,2.2,5,93.7,1
2.2,20122,18.0,3.2,6,21.4,0
11.3,25560,23.9,2.3,6,11.4,0
15.7,29751,36.0,4.6,3,72.9,0
7.9,10549,10.8,2.1,2,17.0,1
8.7,21867,31.3,2.4,3,89.3,1
12.5,21003,4.3,2.2,6,46.5,0
16.2,16798,17.6,2.7,10,117.2,0
6.8,28783,8.0,2.3,6,116.6,0
14.1,22089,38.7,4.1,5,51.4,0
8.2,9731,37.3,1.8,8,29.8,1
1.0,29829,18.5,3.8,7,97.7,0
1.8,33780,31.8,2.6,7,25.3,0
5.4,11050,28.6,4.2,1,59.4,1
11.9,23510,20.3,4.7,6,69.8,0
7.5,32617,21.5,3.6,1,22.0,0
13.5,11450,25.9,1.2,10,84.5,1
15.2,32090,17.2,1.0,4,34.4,0
11.4,28533,23.0,2.8,6,60.9,0
14.0,10939,13.8,1.1,1,42.5,1
2.2,33240,37.6,1.6,4,47.7,0
10.7,17413,19.0,2.8,7,45.1,0
16.3,9771,0.9,2.4,1,84.5,1
19.7,13992,20.6,3.2,5,71.6,0
5.0,19272,25.2,1.7,10,57.5,1
12.5,12465,18.0,2.7,0,87.5,1
15.2,32500,31.8,3.3,8,30.6,0
9.4,14596,26.8,3.0,10,44.5,0
8.2,9743,13.9,4.4,9,29.0,0
16.1,26135,23.6,3.7,5,23.0,0
4.1,28722,5.7,2.6,9,25.2,0
4.1,26824,21.5,4.7,2,71.0,0
3.2,16308,33.7,3.5,5,114.7,1
4.3,18581,38.6,3.0,7,55.0,1
14.3,20544,19.5,1.3,0,97.5,1
1.1,13367,21.5,1.7,7,72.2,1
10.2,22738,4.5,1.5,8,100.6,0
16.5,7363,30.4,2.8,3,118.9,1
16.7,30620,9.9,4.5,0,59.5,0
16.4,20387,34.6,1.5,3,33.1,0
13.9,34214,28.4,3.5,2,77.8,0
16.4,32392,2.4,2.4,4,75.7,0
19.6,15589,11.6,2.1,8,118.4,0
2.4,30579,31.4,4.7,4,105.4,0
17.4,14181,5.8,2.3,3,93.8,0
10.0,24921,25.3,3.5,6,59.7,0
17.7,9050,16.1,4.0,5,60.0,0
11.8,34472,31.0,3.9,7,79.8,0
17.1,32072,21.4,1.9,6,100.7,0
6.8,15292,13.5,3.3,9,103.8,0
17.9,30977,1.9,1.4,7,11.8,0
3.6,20959,0.0,4.8,3,119.5,0
17.7,15891,6.4,4.7,4,20.3,0
2.1,27774,36.2,1.7,6,78.8,1
15.2,20065,26.2,3.8,0,33.5,0
12.1,23021,27.2,1.0,5,99.9,1
8.7,10331,19.1,1.9,1,90.4,1
6.6,34868,12.0,2.5,2,80.6,0
1.8,24457,0.3,3.6,7,48.6,0
15.1,19490,24.6,2.8,3,19.5,0
15.2,25319,29.2,2.4,6,44.6,0
5.9,8760,9.9,3.4,9,41.3,0
1.0,33756,26.3,2.2,8,76.8,0
8.1,27173,2.2,4.6,3,64.4,0
10.2,25461,2.8,4.6,0,118.6,0
3.1,34207,33.6,2.7,8,85.1,0
19.1,31243,2.9,3.3,0,38.8,1
1.7,31863,15.9,2.1,8,94.4,0
8.3,26989,21.5,3.5,4,19.2,0
18.5,32478,6.2,2.3,9,79.8,0
13.8,8166,12.4,2.7,3,16.4,0
9.0,20856,24.5,1.2,10,91.6,0
2.8,29196,5.5,1.0,7,114.8,0
15.8,29618,10.4,2.5,4,90.6,0
18.0,16977,32.3,2.1,1,38.9,1
12.7,22257,18.2,2.4,7,104.5,0
3.6,31340,4.1,3.3,1,35.1,0
1.4,34276,0.5,1.2,5,52.1,0
18.7,34098,1.4,4.2,10,56.1,0
8.6,29602,12.8,4.3,9,51.0,0
18.1,11876,8.9,3.1,0,114.9,1
9.6,15250,30.9,2.2,1,70.8,0
4.4,24474,31.4,4.0,3,61.0,0
10.1,31316,31.0,3.9,8,93.7,0
0.6,19436,1.0,3.2,10,102.4,0
19.0,6047,30.4,2.5,4,21.4,1
5.1,22122,38.4,4.9,2,88.3,1
18.5,33705,20.8,3.8,5,60.4,0
11.8,22561,5.3,4.3,1,75.1,0
13.4,10283,9.5,2.0,5,111.9,1
16.7,16690,12.7,2.1,1,113.8,1
15.5,9570,6.2,1.7,7,44.5,0
7.5,31242,8.3,2.2,4,103.8,0
16.2,15968,33.1,3.8,0,33.7,1
3.4,29303,9.9,2.4,8,15.4,0
16.5,11697,1.2,2.6,7,71.2,0
2.3,9339,32.2,1.6,0,16.8,1
4.8,12492,32.9,2.5,10,113.1,1
11.9,32632,3.0,5.0,3,109.3,0
3.0,33763,33.2,2.3,0,113.7,1
18.5,20193,32.9,2.6,0,52.1,1
7.4,12132,11.0,2.8,2,13.8,1
5.3,15670,20.0,4.5,7,16.7,0
3.2,12535,25.7,4.2,3,79.4,1
16.0,18533,31.3,2.4,8,96.0,0
11.5,16538,15.5,1.7,5,75.7,0
16.3,15205,2.3,5.0,8,49.3,0
5.0,11230,4.0,3.6,4,68.7,1
14.9,31036,39.9,1.9,6,49.0,0
17.0,11770,9.5,2.3,5,110.5,0
14.2,24600,22.5,3.3,3,102.0,0
19.4,23764,12.4,3.0,1,16.2,0
0.9,21662,0.0,4.7,3,98.7,0
4.0,32293,33.8,2.3,0,26.2,0
3.3,9634,33.9,4.4,1,51.1,1
8.2,9310,13.5,2.3,2,90.6,1
13.0,21964,26.0,1.7,8,86.3,0
15.8,13315,26.6,4.3,6,43.8,0
3.0,29882,0.1,3.8,9,53.1,0
19.3,7061,7.3,2.3,9,34.3,0
18.8,10608,13.2,1.3,5,118.1,1
17.8,8907,32.9,3.7,5,59.1,1
5.4,8221,14.0,4.1,0,15.3,1
8.7,11450,35.4,3.0,6,48.6,1
16.7,31845,34.6,3.6,10,34.8,0
16.1,7094,11.8,2.3,1,18.2,1
7.8,29985,3.0,4.8,1,47.2,0
17.9,29085,1.2,4.8,2,76.8,0
1.5,16849,8.2,1.8,8,89.4,1
5.7,15224,11.9,1.4,6,72.9,1
3.5,17823,0.2,1.4,10,78.8,0
2.4,12781,6.8,2.2,1,62.1,1
15.8,21431,19.6,3.6,1,80.6,0
7.7,18499,14.8,2.8,4,58.4,0
16.8,24489,2.5,4.0,10,20.6,0
16.3,19565,38.8,3.4,8,16.7,0
10.7,23547,27.5,4.7,9,107.0,0
2.0,33981,28.6,3.0,8,98.0,0
12.6,9941,38.0,2.8,2,116.9,1
3.0,19873,3.1,3.7,3,119.7,1
16.8,14450,12.8,3.9,1,19.6,0
11.3,34069,11.0,2.8,0,96.5,0
10.7,19749,4.5,1.6,9,74.7,0
18.8,9461,22.5,1.4,4,105.4,1
17.6,14655,15.3,2.9,9,62.0,0
8.4,26258,24.3,3.8,0,53.5,0
14.0,7615,29.8,4.7,5,12.2,0
6.4,15186,33.7,4.4,10,20.8,0
3.1,30370,17.7,4.3,4,90.2,0
2.2,20474,8.5,4.3,7,93.5,0
16.5,22884,31.7,1.3,8,54.4,0
10.7,24634,1.2,1.8,3,102.1,0
9.4,17808,28.2,2.1,7,65.6,0
2.9,7001,9.7,3.0,7,29.5,0
11.9,17460,13.8,4.4,4,92.4,0
6.1,18666,2.0,4.4,3,104.3,0
13.7,14817,26.1,3.1,10,11.0,0
13.1,25698,32.0,1.9,9,98.6,0
19.4,27061,11.0,4.6,5,60.5,0
6.4,23060,33.0,2.6,1,10.8,1
19.3,33504,15.0,3.6,9,41.1,0
9.9,17019,39.5,3.6,4,38.7,1
17.9,15790,7.5,3.1,3,109.0,0
16.1,25661,16.2,2.3,2,89.3,0
20.0,14500,36.3,2.6,0,74.1,1
16.4,17244,29.1,1.9,8,80.2,0
18.8,17747,20.3,4.4,10,106.4,0
2.4,10192,29.6,3.9,8,93.9,1
13.8,16998,26.2,1.9,3,91.9,1
15.9,16856,14.9,3.3,7,103.6,0
17.4,25122,23.2,3.5,7,107.8,0
17.4,18506,21.2,2.7,2,25.1,0
8.5,24658,35.7,4.9,2,44.8,0
15.7,21977,13.3,4.9,5,79.8,1
5.8,30942,30.9,3.3,2,63.9,0
2.2,26135,17.3,2.7,6,116.2,0
1.2,12534,29.2,4.8,5,93.3,1
0.8,6135,25.1,2.0,5,44.3,1
10.3,16030,6.7,4.3,4,114.3,0
10.6,23174,13.5,4.6,2,47.7,0
7.5,12174,6.6,4.6,6,12.1,0
19.7,12920,29.4,3.4,2,23.5,0
15.9,18294,35.1,2.0,8,78.5,0
1.4,9542,26.1,1.1,1,55.8,1
11.2,21545,28.1,1.8,10,79.3,0
13.4,27708,20.8,3.5,2,56.1,0
10.5,26240,4.7,1.5,1,64.8,0
15.7,33246,20.9,1.8,6,42.5,1
10.2,12805,27.5,2.9,3,10.3,1
18.2,33368,23.0,3.0,1,95.7,0
14.6,14385,25.8,2.8,4,39.1,0
16.4,34643,1.6,2.2,10,44.4,0
2.4,30844,35.6,1.0,2,83.0,1
7.5,20343,38.2,2.1,1,51.0,1
2.7,19115,38.5,2.1,6,85.9,1
8.7,32113,6.7,1.5,0,118.0,0
2.5,25357,19.3,3.3,7,29.9,0
7.5,6944,34.5,4.5,2,63.1,1
17.8,20440,1.8,2.0,5,11.4,0
10.7,30367,23.1,3.3,10,106.0,0
13.9,26258,3.8,3.6,3,63.0,0
13.0,10871,33.6,3.2,9,16.0,0
3.6,33814,18.8,3.0,2,18.2,0
5.2,15114,2.0,1.9,10,51.7,0
2.0,20555,32.1,2.8,7,59.2,1
10.2,27409,0.7,2.6,0,71.3,1
2.3,25798,38.5,3.6,8,71.9,0
9.4,17169,14.5,1.2,3,102.9,1
15.5,25659,18.9,3.6,7,22.5,0
4.8,17185,14.2,3.5,4,70.2,0
2.6,11379,19.7,4.3,6,21.8,0
4.2,33924,15.7,2.8,3,88.8,0
8.6,26750,33.5,3.4,7,60.3,0
10.3,22345,0.2,3.9,8,112.9,0
9.9,22657,31.2,4.6,9,29.1,0
2.5,27545,24.0,4.5,8,107.0,0
12.4,28692,30.5,2.1,5,116.8,0
3.1,19524,24.1,4.5,8,42.9,0
17.3,29326,29.5,3.2,3,32.1,0
6.2,17314,36.8,1.5,10,117.3,1
11.1,26869,12.9,1.5,5,71.9,0
18.9,29269,16.7,4.0,8,41.5,0
16.3,23128,4.3,2.5,0,83.7,0
15.1,11273,39.3,3.7,2,102.3,1
6.3,30693,21.6,2.4,7,21.3,0
14.9,34339,9.0,3.6,6,36.1,0
16.1,15425,27.7,1.2,6,52.6,0
19.5,16245,38.6,1.2,4,32.3,1
17.3,20518,33.2,4.6,10,50.5,0
14.9,12437,31.0,4.9,4,59.4,0
2.0,11694,29.4,1.5,0,57.1,1
3.0,25136,33.8,1.0,7,88.1,1
3.5,16571,23.9,4.1,10,77.7,0
10.1,24765,22.0,1.3,5,67.8,0
10.7,31764,20.2,2.7,8,54.4,0
17.7,27736,13.3,2.4,3,114.5,0
9.8,24393,32.9,4.9,0,22.6,0
5.2,27045,24.5,3.5,0,85.1,1
18.4,9715,15.4,3.2,4,12.7,0
15.5,22852,32.1,2.8,0,42.6,0
6.7,8698,37.9,1.7,8,68.7,1
4.6,26627,30.9,4.5,6,101.9,0
16.7,34791,39.0,4.1,10,99.8,0
13.9,6778,18.4,2.3,1,18.1,1
5.4,8308,23.0,1.9,4,54.8,1
8.4,16367,0.7,3.7,8,10.6,0
1.7,30443,23.4,3.8,1,49.3,0
6.2,28474,12.1,1.3,7,52.0,0
1.1,11122,21.3,1.5,6,97.6,1
6.3,26776,5.8,3.7,10,51.0,0
11.3,24188,5.7,1.2,9,75.6,0
19.0,15984,8.4,4.0,5,33.3,0
