performance,overtime_hours,tenure,monthly_salary,is_anomaly
3.2,27.3,2.5,8185,0
2.2,24.0,1.5,6317,0
3.3,14.4,2.5,9770,0
2.5,26.4,2.7,7826,0
2.0,13.9,1.3,6568,0
3.5,15.6,2.1,9274,0
3.0,26.9,1.3,6226,0
2.2,29.4,0.9,8174,0
2.1,21.9,1.4,8569,0
2.7,29.7,0.8,10723,0
2.3,10.9,1.6,10259,0
3.4,20.8,2.3,11493,0
2.3,18.6,2.9,8704,0
2.9,23.3,0.8,8460,0
2.8,23.3,1.3,11711,0
2.4,12.5,1.6,9105,0
3.0,28.1,2.0,8465,0
2.6,26.7,1.3,7721,0
2.6,21.6,2.1,9809,0
2.7,23.5,1.8,7390,0
3.0,15.7,2.2,11072,0
2.5,26.4,2.4,11511,0
2.5,26.1,0.9,6378,0
2.4,19.5,2.6,6596,0
2.7,27.7,1.9,11884,0
3.0,19.9,1.1,11374,0
3.0,27.9,2.7,6873,0
3.2,14.4,2.5,11700,0
2.8,11.0,1.1,6994,0
2.7,26.0,2.2,10578,0
2.9,29.0,2.7,11018,0
3.2,27.8,1.6,10488,0
2.7,13.2,2.7,9686,0
2.4,14.9,2.1,10270,0
2.7,14.8,1.6,11845,0
2.4,15.4,1.3,10424,0
2.1,13.0,1.5,7251,0
3.1,11.3,1.5,10445,0
2.7,11.2,2.6,9190,0
3.4,21.7,2.2,10716,0
2.6,10.1,1.4,9194,0
3.3,29.1,1.5,10473,0
3.2,28.0,1.7,8235,0
2.7,10.6,1.3,11563,0
3.2,24.5,2.6,7045,0
3.5,20.7,2.8,10848,0
2.8,10.5,2.1,7111,0
3.3,13.6,1.2,8681,0
2.3,16.5,2.4,9105,0
2.4,29.0,1.6,6670,0
2.7,25.0,0.6,8866,0
2.3,11.4,2.9,6329,0
3.1,29.0,1.0,6166,0
2.9,14.8,1.7,6937,0
2.8,14.4,2.2,9021,0
2.3,22.1,2.4,6938,0
3.2,13.3,1.3,10740,0
2.0,16.2,2.2,9074,0
2.6,24.3,0.7,11657,0
3.2,14.9,2.2,8470,0
3.3,22.0,0.8,10636,0
3.2,16.9,1.6,9035,0
2.1,23.0,0.5,9441,0
3.2,12.1,2.9,11206,0
3.3,19.2,0.9,7442,0
3.1,29.3,1.2,10408,0
3.2,19.3,2.6,10853,0
2.4,27.0,2.6,6709,0
2.4,19.0,2.4,10668,0
2.9,17.6,0.6,8662,0
2.3,14.2,2.5,8788,0
2.4,21.9,2.7,10553,0
2.0,29.0,0.7,11898,0
2.6,21.1,1.1,9900,0
3.0,19.8,2.5,6762,0
2.4,18.1,1.1,11439,0
2.9,19.5,1.8,9485,0
3.5,21.0,1.4,9717,0
2.4,15.0,0.8,7577,0
2.5,24.9,2.9,11653,0
2.3,14.3,1.7,11935,0
4.4,35.2,15.2,21647,0
4.7,25.9,12.3,24952,0
3.5,30.7,11.3,20893,0
4.3,33.9,9.5,34228,0
4.6,22.1,8.1,24658,0
4.2,28.8,10.2,20841,0
3.9,37.2,9.4,21070,0
4.1,21.5,15.6,20878,0
3.7,36.2,19.4,21395,0
5.0,22.4,17.2,29933,0
4.4,32.4,17.3,26232,0
4.2,28.9,18.3,27025,0
4.0,32.4,15.3,32125,0
3.6,35.3,15.5,24335,0
4.5,23.1,10.1,21229,0
3.7,28.2,16.3,27699,0
3.9,24.6,16.5,31517,0
4.8,21.4,10.8,24334,0
4.7,32.5,15.9,23241,0
4.1,30.9,15.8,34883,0
3.9,22.8,8.7,32986,0
4.0,35.0,14.8,24728,0
4.2,29.4,11.6,26594,0
4.9,30.0,13.9,21317,0
4.4,37.8,16.8,29891,0
3.9,21.8,19.5,33696,0
4.8,31.7,8.2,32529,0
4.5,25.4,8.5,32390,0
3.8,30.4,13.3,24557,0
3.8,31.7,15.6,28056,0
5.0,29.4,12.9,25260,0
4.5,37.2,12.0,31365,0
4.2,33.3,12.8,32460,0
4.3,29.1,11.8,25296,0
3.7,35.5,18.4,33515,0
5.0,33.2,14.5,26770,0
3.6,30.4,15.5,28167,0
4.4,35.2,10.4,28998,0
3.7,25.8,18.6,27941,0
3.7,39.5,15.3,23920,0
4.6,26.2,8.2,26684,0
3.6,39.8,19.0,27560,0
4.9,33.0,9.8,31740,0
3.9,34.1,13.0,27905,0
5.0,24.9,14.6,26284,0
3.8,32.0,17.0,22236,0
4.8,25.5,17.5,26798,0
4.0,35.8,11.2,20042,0
3.9,26.0,15.0,30812,0
4.2,23.0,14.5,25654,0
4.0,35.3,12.5,25272,0
4.8,39.6,10.9,26274,0
3.9,35.5,8.5,32201,0
4.2,38.3,12.6,30873,0
4.7,33.0,9.8,20606,0
3.7,39.3,12.0,21644,0
4.8,28.8,14.3,27486,0
3.5,22.9,18.5,22529,0
3.6,35.6,11.2,30211,0
4.5,33.0,18.2,33964,0
4.5,30.7,19.4,30269,0
4.6,35.2,18.5,20588,0
4.4,24.7,16.2,24708,0
5.0,34.9,13.2,21612,0
4.6,34.1,9.2,22725,0
4.5,38.1,8.6,33044,0
3.6,27.2,13.2,24000,0
4.3,31.3,17.5,22785,0
3.8,32.2,12.6,31192,0
3.9,38.3,9.7,27555,0
4.5,29.2,16.0,34727,0
4.7,38.0,16.1,22588,0
3.6,38.9,19.9,24901,0
4.5,28.5,11.0,33849,0
4.0,40.0,18.2,21747,0
3.9,31.4,14.9,31456,0
3.9,39.6,15.9,24497,0
3.5,37.3,17.3,20803,0
4.9,34.9,18.0,34793,0
3.9,36.0,15.3,25772,0
3.8,23.8,11.0,32379,0
4.6,33.2,18.1,30293,0
3.6,32.5,8.5,32920,0
4.2,31.6,16.8,21476,0
4.9,26.5,13.0,23289,0
3.7,30.8,19.7,28697,0
4.3,25.5,10.0,34975,0
4.7,29.6,17.7,32231,0
4.8,36.1,13.6,21233,0
3.7,39.3,18.3,31865,0
4.5,27.9,18.1,29131,0
4.0,35.8,8.2,28791,0
3.7,27.4,17.0,24295,0
4.4,36.4,19.3,21775,0
4.5,29.4,15.4,29198,0
4.0,32.2,15.8,30410,0
4.7,38.2,11.6,26689,0
3.7,20.9,8.4,28071,0
3.7,24.7,14.5,26367,0
4.2,33.4,16.9,28850,0
4.1,34.8,9.9,26797,0
4.5,36.7,15.4,24583,0
3.5,27.4,13.3,23868,0
4.8,22.0,16.2,28920,0
4.9,32.9,8.7,24520,0
3.8,22.4,18.2,27450,0
3.6,24.2,15.7,20349,0
3.6,26.7,19.9,32893,0
4.3,21.4,17.2,23394,0
4.4,36.3,10.8,32687,0
3.7,38.0,8.0,34064,0
5.0,39.8,14.5,33082,0
3.8,33.2,8.3,20243,0
4.0,35.8,15.1,20258,0
3.8,21.0,16.9,28619,0
3.7,21.3,13.4,25931,0
4.3,22.2,14.0,30077,0
3.6,35.7,18.4,28543,0
4.0,32.9,8.4,27847,0
4.8,28.5,9.3,31671,0
4.9,21.5,9.0,29966,0
3.7,22.5,15.5,29590,0
4.3,26.5,19.9,28692,0
3.9,30.1,13.2,32994,0
4.6,37.1,15.8,32598,0
4.3,37.3,13.2,34550,0
3.8,26.8,13.4,26815,0
4.6,26.3,11.8,24176,0
4.1,23.1,19.1,21099,0
3.6,21.7,13.2,32199,0
4.6,36.2,14.7,29608,0
4.9,31.2,16.0,26730,0
4.0,33.3,17.0,34222,0
4.9,21.0,11.5,25119,0
4.0,31.6,10.6,30759,0
4.2,36.9,12.2,29113,0
4.1,35.3,14.9,33225,0
4.1,31.2,17.2,30186,0
4.4,32.9,8.3,30777,0
4.7,25.3,10.2,31513,0
4.6,38.4,12.2,22972,0
4.8,31.3,12.8,22324,0
4.6,39.4,9.1,28691,0
3.8,28.4,12.1,26062,0
4.0,26.5,19.3,29768,0
3.6,21.1,9.9,30122,0
3.6,21.6,13.3,26947,0
4.2,28.8,11.3,32368,0
4.3,26.9,9.3,31111,0
4.5,29.7,16.0,20744,0
3.8,39.7,8.7,23349,0
4.0,24.2,9.6,24186,0
3.9,22.4,14.0,27055,0
3.8,27.6,16.4,28196,0
4.3,33.4,12.3,26505,0
4.8,20.8,8.2,21275,0
4.8,31.5,14.9,31624,0
4.5,25.8,12.9,25321,0
3.8,39.0,13.5,31298,0
4.9,21.8,18.1,23986,0
4.2,28.0,8.9,34262,0
4.0,26.8,12.0,22754,0
3.6,32.7,14.4,23176,0
4.9,27.0,16.7,33417,0
4.5,23.0,9.2,24193,0
3.8,32.0,17.1,30739,0
3.6,39.0,15.5,27601,0
4.6,35.2,13.4,34451,0
4.3,32.7,15.5,34159,0
5.0,26.3,13.3,27682,0
3.2,9.5,4.9,10920,0
3.0,6.1,6.2,10616,0
2.6,17.5,3.5,11479,0
3.4,12.6,6.2,19081,0
3.9,16.1,3.3,19366,0
3.5,9.8,6.3,12471,0
3.9,11.8,8.7,15626,0
4.0,6.3,7.5,10641,0
2.9,11.6,6.1,18564,0
3.4,10.5,9.4,16347,0
3.1,10.1,7.2,15482,0
2.6,6.4,7.7,14655,0
2.9,17.8,9.8,19874,0
3.8,10.0,7.1,12317,0
3.9,9.7,7.6,16421,0
2.7,15.6,3.6,19157,0
3.1,16.9,8.7,18624,0
2.6,15.1,6.6,10298,0
3.0,7.7,4.5,17967,0
2.8,20.0,4.1,14846,0
3.8,6.5,8.4,18626,0
2.6,10.1,8.4,12147,0
3.4,7.3,4.3,12712,0
3.6,5.7,5.6,13891,0
4.0,14.2,8.3,17355,0
2.9,8.6,9.8,17684,0
3.9,7.9,7.7,19345,0
4.0,11.9,5.0,16256,0
3.3,11.3,4.1,13271,0
3.7,7.1,4.8,17873,0
3.8,13.3,3.7,18452,0
3.8,9.3,8.3,14469,0
3.2,12.7,8.8,11502,0
3.9,8.3,6.2,15727,0
3.9,11.2,5.8,16126,0
2.9,19.9,5.6,10461,0
3.0,6.5,8.0,15493,0
3.7,7.1,5.0,17740,0
3.5,7.1,7.9,17349,0
3.4,18.6,3.1,13533,0
3.8,13.2,8.1,18647,0
3.1,16.6,4.7,11996,0
2.6,11.3,8.6,17489,0
2.6,17.6,6.5,18782,0
2.5,12.7,4.7,12352,0
2.9,5.0,5.5,19349,0
3.1,15.0,3.6,15908,0
2.6,12.9,6.6,18316,0
3.3,10.9,6.3,16338,0
4.0,8.8,3.1,11106,0
3.0,16.0,7.4,19533,0
3.6,10.0,3.3,18945,0
3.0,14.6,8.8,17612,0
4.0,12.2,4.3,12209,0
2.6,16.6,6.2,14807,0
2.8,16.9,9.2,15170,0
3.9,12.7,9.9,18897,0
3.2,5.5,7.5,14687,0
3.0,16.7,9.1,15438,0
2.9,17.0,6.1,16553,0
3.6,18.4,5.7,13060,0
3.2,12.5,9.5,18507,0
2.9,6.2,6.0,17055,0
3.4,17.3,6.8,15262,0
2.7,9.9,5.1,17305,0
3.4,11.4,7.8,15759,0
3.2,15.9,9.4,17126,0
2.9,19.7,9.6,11229,0
3.5,11.1,6.6,12621,0
3.9,7.1,7.3,17179,0
2.6,6.0,8.4,16001,0
3.0,19.2,3.2,12513,0
3.5,19.2,5.6,11259,0
3.4,12.9,5.8,14566,0
2.9,6.7,8.1,18176,0
3.3,18.7,3.8,14264,0
3.6,8.2,7.3,18047,0
2.8,7.0,3.5,12828,0
3.8,11.7,3.6,15236,0
3.5,15.6,6.8,14757,0
3.8,17.8,8.0,12852,0
3.7,12.6,3.8,13292,0
3.7,8.6,6.5,15912,0
3.3,10.5,8.6,19038,0
2.7,18.3,3.5,16523,0
4.0,15.8,6.7,16708,0
3.7,6.1,9.8,11215,0
3.2,15.2,5.4,19032,0
3.5,7.7,9.8,17088,0
3.3,18.0,8.8,18488,0
2.7,7.5,5.3,13694,0
3.0,19.1,9.3,11292,0
2.9,14.5,6.9,12050,0
3.4,14.2,3.7,12762,0
3.4,13.7,4.2,19914,0
3.0,18.9,3.3,10464,0
2.6,19.2,8.4,14336,0
3.5,16.5,5.9,10496,0
3.2,14.4,5.0,14949,0
3.2,17.1,7.8,14873,0
3.2,15.3,4.1,16809,0
3.2,8.1,7.2,15121,0
3.8,9.8,9.9,15658,0
4.0,7.0,5.6,19202,0
2.7,8.6,3.9,17366,0
2.9,6.5,5.0,16293,0
3.8,11.3,9.7,12616,0
3.7,19.0,8.0,13110,0
3.6,12.5,6.6,18171,0
3.8,12.5,3.6,16442,0
3.3,19.5,4.5,15781,0
2.6,9.2,7.2,17710,0
2.9,5.1,3.8,12194,0
3.8,15.9,8.3,15995,0
2.6,5.8,6.9,15939,0
3.3,6.1,6.5,19008,0
2.9,19.8,7.8,11946,0
2.7,6.5,5.6,15555,0
3.3,10.5,4.0,19870,0
3.3,12.5,3.3,12245,0
3.6,17.1,6.6,12440,0
3.4,12.7,5.3,15218,0
2.7,19.9,8.2,14902,0
3.4,12.6,6.6,18025,0
3.6,9.5,8.7,16035,0
3.0,6.6,5.9,15040,0
3.7,15.9,7.8,10436,0
3.4,9.0,7.6,19477,0
3.4,15.8,7.1,12793,0
3.3,15.8,8.4,16229,0
2.7,15.2,3.2,11800,0
2.8,11.6,5.9,16765,0
3.5,11.2,8.4,17726,0
3.8,16.0,3.4,12262,0
3.3,13.4,10.0,17837,0
3.3,9.7,4.2,18734,0
3.0,10.3,8.4,14331,0
3.4,7.9,4.7,19143,0
2.9,19.1,9.9,14735,0
3.6,15.4,6.4,17861,0
3.0,19.0,8.6,14480,0
2.9,13.6,6.8,16464,0
3.7,19.3,8.6,14758,0
2.6,19.3,3.6,17247,0
3.5,16.2,4.5,18824,0
2.9,13.4,4.9,11789,0
3.4,13.8,4.7,18700,0
2.8,8.5,3.7,15411,0
3.6,6.5,8.4,10084,0
3.9,19.7,4.1,17793,0
3.2,8.0,9.7,15262,0
2.9,5.9,8.4,19406,0
2.8,16.1,9.0,10611,0
3.9,7.6,9.2,12880,0
3.9,5.5,8.9,18116,0
2.8,16.2,9.1,14742,0
3.8,5.1,7.0,11758,0
3.9,10.0,6.2,18901,0
3.3,18.3,3.9,18261,0
3.2,7.9,3.8,12662,0
4.0,20.8,0.5,30523,1
3.9,21.4,0.8,31643,1
3.8,11.3,1.5,28027,1
3.7,24.0,0.5,31284,1
4.9,4.8,5.2,12374,1
4.7,1.2,10.3,27250,1
4.7,2.5,13.5,22190,1
1.6,39.7,4.3,23618,1
4.6,0.8,11.5,24242,1
1.5,37.4,5.8,30880,1
4.1,20.2,1.4,26341,1
1.5,36.8,9.3,21838,1
4.8,2.5,9.0,16910,1
4.9,2.2,10.5,28017,1
4.8,4.0,7.3,28818,1
1.6,37.8,7.1,25049,1
3.6,22.2,1.6,34475,1
4.7,3.5,8.6,13974,1
3.1,24.0,0.5,31698,1
4.6,3.2,11.2,25774,1
4.9,2.2,13.8,24369,1
4.8,3.3,8.6,23395,1
5.0,2.0,2.8,19297,1
4.1,24.7,1.2,33920,1
1.4,36.1,5.1,22541,1
